nombre,direccion,telefono,horario,sitio_web,latitud,longitud
Centro de Salud UNE-Totoracocha,Av. Yanahurco e Ignacio Cordero. Esquina,(07) 286-2115,Lunes a Sábado: 8:00a.m.-5:00p.m. / Domingo: Cerrado,,-2.894136,-78.977862
Centro de Salud N. 4 Carlos Elizalde,Vicente Melo y Paseo de Salado,(07) 411-2686,Lunes a Sábado: Abierto las 24 Horas / Domingo: Cerrado,,-2.920289,-79.043822
Centro de Salud N. 3 Nicanor Merchán,Av. 12 de Abril 5-99 y Fray Vicente Solano,(07) 283-6352,Lunes a Viernes: 7:00a.m.-5:00p.m. / Sábado y Domingo: Cerrado,,-2.90279,-79.004547
Centro de Salud N. 1 Pumapungo,Av. Huayna Cápac 1-270 y Pisar Cápac,(07) 410-9296,Lunes a Viernes: 8:00a.m.-5:00p.m. / Sábado y Domingo: Cerrado,,-2.907341,-78.995617
Hospital Vicente Corral Moscoso,Pasaje del Paraíso,(07) 409-6000,Abierto las 24 horas,https://hvcm.gob.ec/,-2.911108,-78.992463
Hospital José Carrasco Arteaga (IESS),José Carrasco Arteaga entre Popayán y Pacto Andino,(07) 286-1500,Abierto las 24 horas,https://hjca.iess.gob.ec/,-2.89874,-78.970124
Hospital Municipal Cuenca,Calle del Camal - Vía Patamarca,(07) 290-1250,Abierto las 24 horas,https://www.hospitalmunicipalcuenca.gob.ec/,-2.86608,-78.98227
Hospital Santa Inés,Agustín Cueva Vallejo e Inés Salcedo,(07) 413-4700,Abierto las 24 horas,https://cuenca.sisantaines.com/,-2.902236,-79.009093
Hospital Monte Sinaí,Av. Miguel Cordero 6-111 y Av. Solano,(07) 288-5595,Abierto las 24 horas,https://www.hospitalmontesinai.org/,-2.90861,-79.00737
Hospital Universitario del Río,Av. 24 de Mayo y José Rodríguez Peralta,(07) 245-9553,Abierto las 24 horas,https://www.hospitaldelrio.com.ec/,-2.89294,-78.9608
Hospital Universitario Católico,Calle Pío Bravo 2-52 y Manuel Vega,0979370879,Lunes a Sábado: 8:00a.m.-6:00p.m. / Domingo: Abierto las 24 horas,https://www.hucc.med.ec/,-2.893034,-78.997643
Hospital Humanitario Fundación Pablo Jaramillo Crespo,Av. Carlos Arízaga Vega y Av. de las Américas,(07) 500-1023,Abierto las 24 horas,https://www.hospitalhumanitario.org/,-2.89844,-79.02876
Hospital San Juan de Dios,Manuel J. Calle 1-59 y Av. Paucarbamba,(07) 412-5046,Abierto las 24 horas,https://www.sanjuandedios.med.ec/,-2.90801,-79.00061
Clínica Latino,Av. 3 de Noviembre 3-50 y Unidad Nacional,(07) 282-7074,Abierto las 24 horas,https://www.clinicalatino.med.ec/www/,-2.89291,-79.01755
Centro de Salud Municipal - Medisol Madre Teresa,Av. Huayna Cápac y Simón Bolívar,(07) 407-9412,Lunes a Viernes: 7:30a.m.-4:00p.m. / Sábado y Domingo: Cerrado,https://www.hospitalmunicipalcuenca.gob.ec/madre-teresa/,-2.89816,-78.99687
Medisol 12 De Abril,Isidro Ayora y General Eloy Alfaro,(07) 415-1459,Lunes a Viernes: 7:30a.m.-4:00p.m. / Sábado y Domingo: Cerrado,https://www.hospitalmunicipalcuenca.gob.ec/12-de-abril-2-2/,-2.90233,-78.99157
Instituto del Cáncer Solca,Avenida del Paraíso y Agustín Landivar,(07) 409-6566,Abierto las 24 horas,https://www.institutodelcancer.med.ec/,-2.91283,-78.99243
